batter,runs,avg,strike_rate
V Kohli,6634,36.25136612,125.9779719
S Dhawan,6244,34.88268156,122.840842
DA Warner,5883,41.42957746,136.4015766
RG Sharma,5881,30.31443299,126.9645941
SK Raina,5536,32.37426901,132.5353124
AB de Villiers,5181,39.85384615,148.5804416
CH Gayle,4997,39.65873016,142.1217292
MS Dhoni,4978,39.19685039,130.9310889
RV Uthappa,4954,27.52222222,126.1522791
KD Karthik,4377,26.85276074,129.2675724
G Gambhir,4217,31.00735294,119.6651532
AT Rayudu,4190,28.89655172,124.1481481
AM Rahane,4074,30.86363636,117.5757576
KL Rahul,3895,46.92771084,132.7991817
SR Watson,3880,30.79365079,134.1632089
MK Pandey,3657,29.73170732,117.7398583
SV Samson,3526,29.14049587,132.4070597
KA Pollard,3437,28.40495868,140.4577033
F du Plessis,3403,34.37373737,127.1674141
YK Pathan,3222,29.29090909,138.0462725
BB McCullum,2882,27.71153846,126.8485915
RR Pant,2851,34.76829268,142.55
PA Patel,2848,22.6031746,116.6257166
JC Buttler,2832,39.33333333,144.859335
SS Iyer,2780,31.23595506,121.1328976
Q de Kock,2767,31.8045977,130.9512541
Yuvraj Singh,2754,24.81081081,124.7847757
V Sehwag,2728,27.55555556,148.8270595
SA Yadav,2644,29.70786517,134.0091232
M Vijay,2619,25.93069307,118.6141304
RA Jadeja,2502,26.61702128,122.1083455
SPD Smith,2495,34.65277778,124.8124062
SE Marsh,2489,39.50793651,130.1097752
DA Miller,2455,36.10294118,133.5690968
JH Kallis,2427,28.55294118,105.9362724
WP Saha,2427,25.28125,124.3977447
DR Smith,2385,28.39285714,132.2795341
MA Agarwal,2335,22.66990291,129.5063783
SR Tendulkar,2334,33.82608696,114.1878669
GJ Maxwell,2320,25.49450549,147.6766391
N Rana,2181,27.96153846,130.0536673
R Dravid,2174,28.23376623,113.3472367
KS Williamson,2105,36.29310345,123.3157586
AJ Finch,2092,24.9047619,123.3490566
AC Gilchrist,2069,27.22368421,133.0546624
AD Russell,2039,29.98529412,168.2343234
JP Duminy,2029,39.78431373,120.7738095
MEK Hussey,1977,38.76470588,119.9635922
HH Pandya,1972,29.87878788,140.2560455
Shubman Gill,1900,32.20338983,122.1864952
Ishan Kishan,1870,29.21875,129.501385
DPMD Jayawardene,1808,28.25,118.7910644
RA Tripathi,1798,27.66153846,137.0426829
MK Tiwary,1695,28.72881356,113.8347884
Mandeep Singh,1692,21.41772152,120.6847361
KC Sangakkara,1687,25.95384615,118.4691011
PP Shaw,1588,25.20634921,143.5804702
DJ Bravo,1560,22.60869565,125.1002406
NV Ojha,1554,20.72,114.2647059
KK Nair,1496,23.74603175,125.5033557
SS Tiwary,1494,28.73076923,115.7242448
S Badrinath,1441,30.65957447,115.7429719
EJG Morgan,1406,22.67741935,119.0516511
BJ Hodge,1400,33.33333333,121.4223764
SC Ganguly,1349,25.45283019,101.73454
CA Lynn,1329,34.07692308,136.4476386
KH Pandya,1326,22.1,132.2033898
DJ Hussey,1322,26.97959184,120.0726612
JM Bairstow,1291,35.86111111,138.0748663
D Padikkal,1260,28,119.205298
DJ Hooda,1237,20.27868852,127.5257732
RD Gaikwad,1207,37.71875,127.7248677
KM Jadhav,1196,22.14814815,119.3612774
TM Dilshan,1153,26.81395349,110.1241643
IK Pathan,1150,21.69811321,116.751269
AR Patel,1135,19.23728814,123.5038085
ML Hayden,1107,35.70967742,131.942789
LMP Simmons,1079,39.96296296,122.8929385
M Vohra,1073,22.35416667,125.9389671
MP Stoinis,1070,26.09756098,131.6113161
SP Narine,1025,14.85507246,154.3674699
LRPL Taylor,1017,25.425,120.0708383
KP Pietersen,1001,35.75,132.0580475
MC Henriques,1000,27.77777778,124.8439451
Y Venugopal Rao,985,22.38636364,113.8728324
JA Morkel,975,24.375,136.9382022
A Symonds,974,36.07407407,124.7119078
CL White,971,26.97222222,125.4521964
BA Stokes,920,25.55555556,130.8677098
N Pooran,912,24.64864865,144.7619048
MM Ali,910,23.33333333,139.5705521
HH Gibbs,886,27.6875,105.8542413
STR Binny,880,19.13043478,125.7142857
Harbhajan Singh,833,15.14545455,130.9748428
SO Hetmyer,831,30.77777778,144.0207972
MS Bisla,798,21,108.2767978
Shakib Al Hasan,795,19.3902439,119.5488722
ST Jayasuriya,768,27.42857143,134.0314136
GC Smith,739,28.42307692,106.9464544
R Tewatia,738,25.44827586,125.5102041
V Shankar,731,23.58064516,118.6688312
AD Mathews,724,23.35483871,120.8681135
S Dube,688,24.57142857,127.1719039
TL Suman,676,21.125,115.1618399
AM Nayar,672,17.68421053,114.2857143
Abhishek Sharma,667,23.82142857,130.5283757
GJ Bailey,663,24.55555556,120.1086957
E Lewis,654,27.25,131.0621242
R Ashwin,647,13.47916667,114.1093474
CH Morris,618,22.07142857,149.6368039
JD Ryder,604,21.57142857,129.6137339
PP Chawla,584,11.68,107.5506446
HM Amla,577,44.38461538,138.0382775
VR Iyer,552,27.6,116.4556962
LS Livingstone,549,27.45,155.9659091
YBK Jaiswal,547,23.7826087,133.4146341
CJ Anderson,538,24.45454545,123.3944954
SN Khan,532,24.18181818,135.0253807
RS Bopara,531,29.5,113.4615385
AK Markram,527,40.53846154,131.75
JP Faulkner,527,20.26923077,129.8029557
R Parag,522,16.83870968,120.2764977
M Manhas,514,22.34782609,105.7613169
Gurkeerat Singh,511,21.29166667,117.2018349
OA Shah,506,33.73333333,124.9382716
PC Valthaty,505,22.95454545,116.8981481
SW Billings,503,19.34615385,126.0651629
MR Marsh,476,22.66666667,120.8121827
DT Christian,460,14.83870968,112.745098
NLTC Perera,424,19.27272727,130.0613497
SA Asnodkar,423,21.15,120.1704545
JR Hopes,417,26.0625,132.8025478
J Botha,409,20.45,112.3626374
LR Shukla,405,15,113.1284916
RM Patidar,404,40.4,136.026936
AL Menaria,401,19.0952381,109.2643052
Tilak Varma,397,36.09090909,126.8370607
